system:time_start,LST_Day_1km
"Feb 20, 2009",
"Feb 21, 2009",
"Feb 22, 2009",
"Feb 23, 2009",27.221
"Feb 24, 2009",23.491
"Feb 25, 2009",
"Feb 26, 2009",24.075
"Feb 27, 2009",
"Feb 28, 2009",23.319
"Mar 1, 2009",23.547
"Mar 2, 2009",
"Mar 3, 2009",
"Mar 4, 2009",
"Mar 5, 2009",
"Mar 6, 2009",
"Mar 7, 2009",
"Mar 8, 2009",19.644
"Mar 9, 2009",27.307
"Mar 10, 2009",22.327
"Mar 11, 2009",24.72
"Mar 12, 2009",21.953
"Mar 13, 2009",
"Mar 14, 2009",23.275
"Mar 15, 2009",
"Mar 16, 2009",
"Mar 17, 2009",
"Mar 18, 2009",
"Mar 19, 2009",23.288
"Mar 20, 2009",
"Mar 21, 2009",
"Mar 22, 2009",
"Mar 23, 2009",
"Mar 24, 2009",
"Mar 25, 2009",
"Mar 26, 2009",
"Mar 27, 2009",
"Mar 28, 2009",23.221
"Mar 29, 2009",
"Mar 30, 2009",26.064
"Mar 31, 2009",
"Apr 1, 2009",
"Apr 2, 2009",22.417
"Apr 3, 2009",
"Apr 4, 2009",21.879
"Apr 5, 2009",26.82
"Apr 6, 2009",21.559
"Apr 7, 2009",
"Apr 8, 2009",19.255
"Apr 9, 2009",
"Apr 10, 2009",
"Apr 11, 2009",
"Apr 12, 2009",
"Apr 13, 2009",
"Apr 14, 2009",
"Apr 15, 2009",21.317
"Apr 16, 2009",
"Apr 17, 2009",
"Apr 18, 2009",24.825
"Apr 19, 2009",31.659
"Apr 20, 2009",
"Apr 21, 2009",
"Apr 22, 2009",
"Apr 23, 2009",
"Apr 24, 2009",
"Apr 25, 2009",
"Apr 26, 2009",
"Apr 27, 2009",
"Apr 28, 2009",
"Apr 29, 2009",
"Apr 30, 2009",
"May 1, 2009",
"May 2, 2009",
"May 3, 2009",26.502
"May 4, 2009",
"May 5, 2009",26.307
"May 6, 2009",21.949
"May 7, 2009",
"May 8, 2009",25.275
"May 9, 2009",21.254
"May 10, 2009",27.661
"May 11, 2009",
"May 12, 2009",24.256
"May 13, 2009",
"May 14, 2009",26.089
"May 15, 2009",
"May 16, 2009",
"May 17, 2009",25.625
"May 18, 2009",
"May 19, 2009",
"May 20, 2009",
"May 21, 2009",
"May 22, 2009",
"May 23, 2009",
"May 24, 2009",24.089
"May 25, 2009",
"May 26, 2009",26.07
"May 27, 2009",
"May 28, 2009",
"May 29, 2009",
"May 30, 2009",
"May 31, 2009",29.508
"Jun 1, 2009",24.502
"Jun 2, 2009",27.993
"Jun 3, 2009",
"Jun 4, 2009",
"Jun 5, 2009",
"Jun 6, 2009",25.067
"Jun 7, 2009",
"Jun 8, 2009",23.591
"Jun 9, 2009",25.89
"Jun 10, 2009",
"Jun 11, 2009",22.032
"Jun 12, 2009",
"Jun 13, 2009",
"Jun 14, 2009",
"Jun 15, 2009",24.468
"Jun 16, 2009",24.057
"Jun 17, 2009",
"Jun 18, 2009",
"Jun 19, 2009",
"Jun 20, 2009",24.248
"Jun 21, 2009",
"Jun 22, 2009",
"Jun 23, 2009",
"Jun 24, 2009",
"Jun 25, 2009",
"Jun 26, 2009",
"Jun 27, 2009",24.604
"Jun 28, 2009",
"Jun 29, 2009",24.332
"Jun 30, 2009",
"Jul 1, 2009",20.909
"Jul 2, 2009",24.138
"Jul 3, 2009",
"Jul 4, 2009",24.561
"Jul 5, 2009",
"Jul 6, 2009",
"Jul 7, 2009",18.575
"Jul 8, 2009",
"Jul 9, 2009",
"Jul 10, 2009",17.616
"Jul 11, 2009",21.491
"Jul 12, 2009",
"Jul 13, 2009",28.01
"Jul 14, 2009",19.57
"Jul 15, 2009",22.484
"Jul 16, 2009",22.165
"Jul 17, 2009",
"Jul 18, 2009",14.049
"Jul 19, 2009",27.871
"Jul 20, 2009",
"Jul 21, 2009",
"Jul 22, 2009",25.842
"Jul 23, 2009",
