,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
146,13,"['2009', 'w43']",2009,200943,2009-10-24,10,25.196142857142853,73.52728490398718,75.71692176302851,72.2173680561398
147,11,"['2009', 'w44']",2009,200944,2009-10-31,10,26.35192857142857,44.5121873448487,46.05622859991692,43.84746534835308
148,13,"['2009', 'w45']",2009,200945,2009-11-07,11,23.85407142857143,76.72368545134613,78.67331593785309,75.83543470802657
149,15,"['2009', 'w46']",2009,200946,2009-11-14,11,22.186714285714288,46.52595188206536,46.08528971004025,46.65923252105713
150,12,"['2009', 'w47']",2009,200947,2009-11-21,11,21.68471428571429,39.24921940552308,42.06271579115863,37.95971376042849
151,26,"['2009', 'w48']",2009,200948,2009-11-28,11,24.1245,17.05926491434034,15.96490422827034,17.53907217569307
152,16,"['2009', 'w49']",2009,200949,2009-12-05,12,23.533785714285717,10.34348023645651,11.25996516937219,9.953950548500098
153,24,"['2009', 'w50']",2009,200950,2009-12-12,12,23.89,1.727428903929132,2.71445662871651,1.212972167872508
154,21,"['2009', 'w51']",2009,200951,2009-12-19,12,23.145714285714288,45.73547153192762,41.61709418365921,47.57931937558935
155,16,"['2009', 'w52']",2009,200952,2009-12-26,12,20.066,28.98392893593294,31.15552903765065,28.09820514600211
156,30,"['2010', 'w01']",2010,201001,2010-01-02,1,22.215857142857146,0.0,0.0,0.0
157,36,"['2010', 'w02']",2010,201002,2010-01-09,1,24.66407142857143,0.0,0.0,0.0
158,37,"['2010', 'w03']",2010,201003,2010-01-16,1,25.342071428571426,0.0,0.0,0.0
159,46,"['2010', 'w04']",2010,201004,2010-01-23,1,24.15364285714286,11.8974201200284,12.39886305527986,11.67501221993648
160,83,"['2010', 'w05']",2010,201005,2010-01-30,1,20.89535714285714,22.49374107416867,22.82029028883303,22.3286827738132
161,83,"['2010', 'w06']",2010,201006,2010-02-06,2,23.76928571428571,0.0,0.0,0.0
162,96,"['2010', 'w07']",2010,201007,2010-02-13,2,26.339928571428572,0.0,0.0,0.0
163,95,"['2010', 'w08']",2010,201008,2010-02-20,2,25.8245,12.35433174075767,13.13382326761882,12.00324606556411
164,115,"['2010', 'w09']",2010,201009,2010-02-27,2,26.386,33.55775372159684,35.06402397409154,32.86022243871601
165,110,"['2010', 'w10']",2010,201010,2010-03-06,3,27.13992857142857,18.35840545797077,19.61799756985356,17.72188034385716
166,136,"['2010', 'w11']",2010,201011,2010-03-13,3,27.94178571428571,20.08118134153394,22.02853646209275,19.21515423945331
167,133,"['2010', 'w12']",2010,201012,2010-03-20,3,24.72207142857143,21.74892438052955,20.85492865198476,22.13135667503427
168,168,"['2010', 'w13']",2010,201013,2010-03-27,3,26.591214285714283,4.482886495954691,4.071560940535172,4.634790281855731
169,234,"['2010', 'w14']",2010,201014,2010-04-03,4,26.649714285714282,60.4990185228843,60.80804039268678,60.35717680049598
170,314,"['2010', 'w15']",2010,201015,2010-04-10,4,24.498500000000003,69.49822338110874,68.9230955976219,69.81806230566917
171,445,"['2010', 'w16']",2010,201016,2010-04-17,4,25.845357142857146,42.55749279806603,43.68716596520466,42.04718212775134
172,511,"['2010', 'w17']",2010,201017,2010-04-24,4,29.22007142857143,37.11199871084017,35.31851847298479,38.00571803981011
173,562,"['2010', 'w18']",2010,201018,2010-05-01,5,28.163000000000004,58.90164161549289,62.0288441132808,57.43068127446219
174,645,"['2010', 'w19']",2010,201019,2010-05-08,5,26.161214285714287,62.24599159057578,60.45600071966936,63.02213088022459
175,731,"['2010', 'w20']",2010,201020,2010-05-15,5,26.880071428571423,40.78356350597819,39.93353622501023,40.98098583615155
176,699,"['2010', 'w21']",2010,201021,2010-05-22,5,24.000357142857148,59.81247615528046,57.60419840559291,60.74086679253011
177,734,"['2010', 'w22']",2010,201022,2010-05-29,5,25.66171428571429,74.02655475228478,78.95747277494793,71.66384905697008
178,820,"['2010', 'w23']",2010,201023,2010-06-05,6,25.97921428571428,60.8844890525201,63.35275831959673,59.73457589936913
179,782,"['2010', 'w24']",2010,201024,2010-06-12,6,27.19371428571429,38.24185064918846,35.19643701009704,39.81525635041228
180,655,"['2010', 'w25']",2010,201025,2010-06-19,6,20.69828571428571,65.45654383092761,69.19422706428934,63.85319940945425
181,651,"['2010', 'w26']",2010,201026,2010-06-26,6,23.005285714285712,64.99593123407658,60.68986770841811,67.25357079068455
182,572,"['2010', 'w27']",2010,201027,2010-07-03,7,18.871285714285715,29.34802302558137,29.37333010291132,29.37685740650247
183,537,"['2010', 'w28']",2010,201028,2010-07-10,7,20.34342857142857,63.01260335748134,62.86501317876549,63.17577147811925
184,522,"['2010', 'w29']",2010,201029,2010-07-17,7,20.178857142857144,78.31983727815403,76.16027207720106,79.27393578629975
185,447,"['2010', 'w30']",2010,201030,2010-07-24,7,22.041428571428575,61.40069385352047,65.27314295976058,59.75083051515281
186,536,"['2010', 'w31']",2010,201031,2010-07-31,7,22.449428571428577,51.0864065595616,48.97522301466569,52.20453109413113
187,493,"['2010', 'w32']",2010,201032,2010-08-07,8,22.613357142857147,37.42254902668113,38.58734354765519,36.98071314342525
188,493,"['2010', 'w33']",2010,201033,2010-08-14,8,25.398499999999995,23.42920784353833,20.45779736871305,24.86113642082302
189,448,"['2010', 'w34']",2010,201034,2010-08-21,8,22.081,42.5797825912396,40.67367534499238,43.55481824503033
